name,address,zipCode,biz_id,rating,review_count
Ariana's,1801 S Chadwick St,19145,arianas-restaurant-philadelphia,5.0,2
Art Cafe Suzanne Restaurant,1916  Welsh Rd,19115,suzani-restaurant-philadelphia-4,4.0,40
Arterial Agents,700  Sansom St,19106,arterial-agents-philadelphia,5.0,9
As-salam,136 S 45th St,19104,as-salam-market-philadelphia,2.0,1
Ashburner Inn,8400  Torresdale Ave,19136,ashburner-inn-philadelphia,3.5,43
Asia Bakery,115 N 10th St,19107,asia-bakery-philadelphia,4.0,32
Asia Craft  Inc.,124 N 10th St,19107,asia-crafts-philadelphia,4.0,22
Asia Express,7246  Castor Ave,19149,asia-express-philadelphia,3.5,2
Asian Garden,4047  Market St,19104,asian-garden-philadelphia,3.0,5
Astoria II Restaurant,8336  Bustleton Ave,19152,astoria-restaurant-philadelphia,5.0,2
Ateethi,9321  Krewstown Rd   A,19115,ateethi-philadelphia,4.0,50
Athenian Restaurant,6824  Torresdale Ave,19135,athenian-restaurant-philadelphia-2,4.0,16
Atiya Ola's Spirit First Foods,4505  Baltimore Ave,19143,atiya-olas-spirit-first-foods-philadelphia,4.0,43
ATL Wings Your Way,524 S 04th St,19147,atl-wings-your-way-philadelphia,3.0,18
Atlantic Pizza,1401 S 12th St,19147,atlantic-pizza-philadelphia,4.5,18
Atlas Pizza,736 S 52nd St,19143,atlas-pizza-and-steaks-philadelphia,1.5,6
Au Bon Pain,100 N 18th St   ABP,19103,au-bon-pain-philadelphia-10,2.5,7
Au Bon Pain,2005  Market St   ABP,19103,au-bon-pain-philadelphia-2,2.0,20
Au Bon Pain,421  Curie Blvd,19104,au-bon-pain-philadelphia-3,3.5,26
Au Bon Pain  (Terminal C),8500  Essington Ave UNIT C Term C - 9,19153,au-bon-pain-philadelphia-11,2.5,55
"Au Bon Pain Terminal E, Space E-14",8500  Essington Ave,19153,au-bon-pain-philadelphia-11,2.5,55
Audrey Claire,276 S 20th St,19103,audrey-claire-philadelphia,4.0,581
August,1247 S 13th St,19147,august-philadelphia,4.0,106
Auntie Anne's,3405  Walnut St,19104,auntie-annes-philadelphia,3.0,10
Auntie Anne's (Terminal B),8500  Essington Ave,19153,eat-at-joes-philadelphia-2,2.5,30
Auntie Anne's (Terminal C),8500  Essington Ave,19153,eat-at-joes-philadelphia-2,2.5,30
Auntie Anne's Pretzels (Main Store),901  Market St,19107,philly-pretzel-factory-philadelphia-4,3.5,6
Avance,1523  Walnut St,19102,avance-philadelphia,4.0,64
Avenida,7402  Germantown Ave,19119,cantina-avenida-philadelphia,3.5,101
Avenue Scoop,932 E Passyunk Ave,19147,avenue-scoop-philadelphia-2,4.5,39
Avril 50,3406  Sansom St,19104,avril-50-philadelphia,4.5,49
Axis Pizza and cafe,20 S 36th St,19104,axis-pizza-philadelphia,3.0,86
Aya Asian Fusion,7313  Frankford Ave,19136,aya-asian-fusion-philadelphia,3.5,76
Aya's Cafe,2129  Arch St,19103,ayas-cafe-philadelphia,4.0,138
Aya's Pizza,7144  Elmwood Ave,19142,ayas-pizza-philadelphia,2.5,14
B & B Grill,5601  Germantown Ave,19144,b-and-b-breakfast-and-lunch-philadelphia,4.0,16
B. P. Gas Station,1201 N Broad St,19122,mcdonalds-philadelphia-52,2.0,10
B.B.Q. Town,7711  Ogontz Ave,19150,bbq-town-philadelphia,4.0,6
B2,1500 E Passyunk Ave,19147,b2-philadelphia,3.5,161
Ba Le Bakery,606  Washington Ave,19147,ba-le-bakery-and-restaurant-philadelphia,3.5,145
Baba Olga's Cafe & Supper Club @ Material Culture,4700  Wissahickon Ave STE 101,19144,material-culture-philadelphia,4.5,26
Bacchus Mkt & Catering,2300  Spruce St,19103,bacchus-market-and-catering-philadelphia,4.0,33
Bacio,311 W Mt. Pleasant Ave,19119,bacio-philadelphia,4.0,156
Bahoo,4401  Lancaster Ave,19104,bahoo-halal-chinese-and-pizza-philadelphia,3.5,3
Bain's Deli,427 S Broad St,19103,bains-deli-philadelphia-4,3.0,13
Bainbridge Street Barrel House,625 S 6th St,19147,bainbridge-street-barrel-house-philadelphia-2,3.0,258
Bait and Switch Restaurant,2537 E Somerset St,19134,bait-and-switch-philadelphia-4,4.5,32
Baker Street,8009  Germantown Ave,19118,baker-street-bread-co-philadelphia,4.0,37
Bala Golf Club,2200  Belmont Ave,19131,bala-golf-club-philadelphia-2,5.0,2
Balkan Express,2237  Grays Ferry Ave,19146,balkan-express-restaurant-philadelphia,4.5,65
Baltimore Crab and Seafood,4800  Spruce St,19139,baltimore-crab-and-seafood-philadelphia,3.0,21
Bambu Desserts and Drinks,5520  Whitaker Ave  6,19124,bambu-philadelphia-3,4.0,34
Banana Leaf,1009  Arch St,19107,banana-leaf-philadelphia,3.5,561
Banh Mi Cali,900  Arch St,19107,banh-mi-cali-philadelphia,4.0,44
Banh Mi Square,320 W Oregon Ave,19148,banh-mi-square-philadelphia,4.0,8
